txn_id,customer_id,merchant_id,timestamp,amount,payment_method,bank,merchant_vertical,failure_reason_code,customer_instruments,retry_propensity,was_retried_historically,retry_success_obs,risk_score,p_success_retry_soon,p_success_retry_later,p_success_switch_method,p_success_send_link,is_weekend,hour_of_day,day_of_week,day_of_month,amount_log,txn_value_bucket
pay106180,cus3479,mer61,2025-03-12 07:30:00,3167.24,debit_card,bank_i,utility_bills,card_expired,2,0.0687,0,,0.3833,0.0478,0.069,0.0888,0.0,0,7,2,12,8.060931507640614,medium
pay113537,cus1013,mer64,2025-05-28 13:19:00,471.48,credit_card,bank_f,food_delivery,bank_server_timeout,3,0.7315,1,0.0,0.1367,0.4335,0.3164,0.7842,0.2935,0,13,2,28,6.157995417995613,small
pay108991,cus2313,mer52,2025-03-06 08:49:00,4289.41,debit_card,bank_i,utility_bills,issuer_decline,4,0.4055,1,1.0,0.8832,0.2419,0.2654,0.2972,0.0,0,8,3,6,8.364137578451007,medium
pay116990,cus1508,mer70,2025-04-24 03:24:00,516.42,upi,bank_i,utility_bills,card_expired,2,0.0671,0,,0.2226,0.0,0.0,0.0,0.0724,0,3,3,24,6.248854923817375,medium
pay114957,cus1645,mer94,2025-03-18 10:05:00,1350.75,debit_card,bank_d,ecommerce,bank_server_timeout,3,0.7996,1,0.0,0.4134,0.6391,0.4739,0.7157,0.105,0,10,1,18,7.209155328262114,medium
pay107284,cus1991,mer48,2025-01-21 11:16:00,1159.69,upi,bank_g,education_fees,otp_expired,4,0.6367,1,1.0,0.3404,0.2551,0.3589,0.1474,0.0565,0,11,1,21,7.056769934846812,medium
pay100343,cus2165,mer94,2025-04-03 17:03:00,2123.8,upi,bank_j,education_fees,otp_expired,1,0.6132,1,1.0,0.4655,0.2651,0.4138,0.0,0.1959,0,17,3,3,7.661432959282115,medium
pay116023,cus1690,mer31,2025-05-10 13:10:00,4150.85,upi,bank_f,ecommerce,otp_expired,2,0.5945,1,1.0,0.3603,0.3475,0.3447,0.024,0.3979,1,13,5,10,8.331309297025493,medium
pay117165,cus3662,mer14,2025-04-07 04:33:00,1078.16,upi,bank_a,utility_bills,bank_server_timeout,2,0.7483,1,0.0,0.1747,0.7266,0.4206,0.2167,0.5395,0,4,0,7,6.9839382397144245,medium
pay113791,cus2279,mer70,2025-01-23 07:15:00,292.81,debit_card,bank_c,ecommerce,insufficient_funds,2,0.5115,1,1.0,0.2665,0.2165,0.7497,0.0772,0.7008,0,7,3,23,5.68293329992024,small
pay108659,cus3373,mer116,2025-06-15 15:58:00,137.0,debit_card,bank_j,food_delivery,insufficient_funds,1,0.4826,0,,0.3877,0.2499,0.7348,0.0,0.5328,1,15,6,15,4.927253685157205,small
pay100229,cus3800,mer110,2025-02-01 19:39:00,1591.42,debit_card,bank_i,food_delivery,card_expired,4,0.0679,0,,0.2935,0.025,0.0,0.1242,0.0,1,19,5,1,7.373010150705667,medium
pay113407,cus1794,mer101,2025-01-23 00:44:00,2138.49,debit_card,bank_e,food_delivery,upi_server_busy,1,0.8399,1,0.0,0.3776,0.7034,0.4275,0.0,0.5116,0,0,3,23,7.6683227618566985,medium
pay117774,cus2850,mer16,2025-02-17 19:25:00,3826.45,credit_card,bank_i,utility_bills,insufficient_funds,3,0.5912,1,0.0,0.4483,0.0621,0.7075,0.227,0.4283,0,19,0,17,8.249954064089229,medium
pay119696,cus1287,mer103,2025-03-10 03:00:00,440.07,credit_card,bank_e,food_delivery,otp_expired,3,0.6154,0,,0.1039,0.4982,0.4888,0.1363,0.3787,0,3,0,10,6.089203593009278,small
pay111720,cus3768,mer15,2025-03-26 15:14:00,3582.72,upi,bank_h,food_delivery,upi_server_busy,1,0.9657,1,1.0,0.3532,0.6102,0.185,0.0,0.5481,0,15,2,26,8.184156646042904,medium
pay111180,cus1327,mer46,2025-03-16 01:34:00,389.06,upi,bank_i,utility_bills,insufficient_funds,4,0.4853,1,0.0,0.1766,0.2377,0.6288,0.159,0.2181,1,1,6,16,5.966300573444433,small
pay112223,cus874,mer6,2025-03-10 21:04:00,5534.52,upi,bank_h,education_fees,issuer_decline,4,0.4918,1,0.0,0.3608,0.2704,0.2132,0.2337,0.0427,0,21,0,10,8.61894078833608,large
pay112820,cus2075,mer10,2025-03-17 20:56:00,407.52,debit_card,bank_g,travel,bank_server_timeout,1,0.7639,1,0.0,0.2305,0.7645,0.2799,0.1231,0.4758,0,20,0,17,6.012540872709899,small
pay115076,cus2949,mer97,2025-01-20 07:17:00,2111.24,upi,bank_f,education_fees,insufficient_funds,4,0.5235,0,,0.2862,0.174,0.4462,0.2244,0.313,0,7,0,20,7.655504274733666,medium
pay102919,cus1208,mer51,2025-03-10 02:18:00,2623.06,debit_card,bank_a,food_delivery,upi_server_busy,4,0.7903,1,1.0,0.3596,0.8391,0.4353,0.646,0.4797,0,2,0,10,7.872478015656219,medium
pay112214,cus77,mer18,2025-01-01 10:25:00,319.16,debit_card,bank_b,education_fees,bank_server_timeout,3,0.8043,0,,0.0865,0.599,0.3239,0.6911,0.4048,0,10,2,1,5.768820870835423,small
pay111705,cus2693,mer14,2025-01-05 06:22:00,1449.93,debit_card,bank_g,food_delivery,bank_server_timeout,4,0.7496,1,1.0,0.3529,0.6869,0.5413,0.748,0.3501,1,6,6,5,7.2799600091291605,medium
pay113541,cus867,mer10,2025-03-04 17:33:00,597.59,credit_card,bank_d,ecommerce,duplicate_payment_block,1,0.3145,0,,0.3037,0.0789,0.2765,0.0472,0.0321,0,17,1,4,6.39457688963255,medium
pay110220,cus2070,mer71,2025-03-04 19:35:00,3371.85,credit_card,bank_d,travel,insufficient_funds,4,0.5229,1,1.0,0.5212,0.2819,0.5129,0.3812,0.2626,0,19,1,4,8.123513363275285,medium
pay119417,cus2057,mer6,2025-03-19 16:52:00,2177.89,upi,bank_c,education_fees,upi_server_busy,3,0.8062,1,1.0,0.2677,0.7318,0.3552,0.46,0.4515,0,16,2,19,7.686570851797948,medium
pay112604,cus1659,mer53,2025-06-01 21:31:00,2970.77,debit_card,bank_a,food_delivery,card_expired,2,0.0928,0,,0.2381,0.0,0.1543,0.1462,0.0,1,21,6,1,7.9969130138793085,medium
pay105075,cus3867,mer54,2025-03-09 21:51:00,100.38,debit_card,bank_g,utility_bills,bank_server_timeout,4,0.6845,0,,0.111,0.633,0.4819,0.9602,0.311,1,21,6,9,4.6188758330442035,small
pay112123,cus2916,mer7,2025-03-14 13:35:00,1122.67,upi,bank_j,utility_bills,bank_server_timeout,2,0.8576,1,1.0,0.448,0.4795,0.3684,0.6086,0.4038,0,13,4,14,7.024355393040341,medium
pay105531,cus2593,mer2,2025-06-20 01:34:00,729.73,upi,bank_g,subscription_saas,card_expired,3,0.0488,0,,0.1931,0.1498,0.0,0.2461,0.0,0,1,4,20,6.5940440344755205,medium
pay105721,cus3808,mer70,2025-03-16 14:19:00,140.04,credit_card,bank_j,food_delivery,bank_server_timeout,1,0.7931,1,1.0,0.8695,0.7156,0.5701,0.0588,0.3196,1,14,6,16,4.949043538089615,small
pay100419,cus3957,mer13,2025-04-02 03:21:00,369.06,upi,bank_i,ecommerce,issuer_decline,4,0.4687,0,,0.1287,0.0,0.2551,0.2317,0.1154,0,3,2,2,5.91366515465357,small
pay105528,cus3379,mer68,2025-01-05 19:50:00,432.95,upi,bank_g,travel,network_timeout,1,0.7483,1,1.0,0.1944,0.4889,0.0285,0.0337,0.6079,1,19,6,5,6.072929320090254,small
pay108939,cus3816,mer26,2025-02-12 09:15:00,554.07,upi,bank_f,utility_bills,account_blocked,1,0.0238,0,,0.1834,0.1061,0.0,0.1305,0.0,0,9,2,12,6.31909423191933,medium
pay109718,cus3991,mer80,2025-04-10 07:30:00,211.29,upi,bank_a,food_delivery,insufficient_funds,3,0.5578,0,,0.1828,0.2268,0.6957,0.2088,0.3878,0,7,3,10,5.3579532644439105,small
pay119380,cus2568,mer39,2025-03-22 14:56:00,125.86,netbanking,bank_h,subscription_saas,card_expired,4,0.1379,1,0.0,0.1975,0.0,0.0,0.1221,0.0761,1,14,5,22,4.843084116205751,small
pay106865,cus689,mer11,2025-06-27 05:31:00,224.09,upi,bank_g,food_delivery,bank_server_timeout,3,0.6978,1,1.0,0.0762,0.72,0.5085,0.4801,0.4379,0,5,4,27,5.4165003222257475,small
pay102446,cus1377,mer101,2025-05-20 05:42:00,186.27,debit_card,bank_b,food_delivery,insufficient_funds,2,0.5272,0,,0.199,0.2027,0.5253,0.2384,0.6485,0,5,1,20,5.232551425772417,small
pay116828,cus3467,mer13,2025-02-23 22:41:00,1392.42,debit_card,bank_b,ecommerce,issuer_decline,1,0.4228,0,,0.3094,0.2521,0.3723,0.0,0.0,1,22,6,23,7.239516435873231,medium
pay111155,cus3865,mer89,2025-05-02 19:31:00,132.96,upi,bank_i,food_delivery,otp_expired,1,0.6347,0,,0.1028,0.3782,0.259,0.0,0.2005,0,19,4,2,4.897541247926004,small
pay104798,cus3714,mer45,2025-03-12 08:54:00,2353.78,debit_card,bank_a,food_delivery,issuer_decline,1,0.369,0,,0.2265,0.2037,0.2651,0.0025,0.2246,0,8,2,12,7.764202583827737,medium
